75.00,72.05,69.11,66.18,63.28,60.41,57.59,54.81,52.09,49.43,46.83,44.30,41.85,39.48,37.18,34.97,32.84,30.80,28.84,26.97,25.18,23.48,21.86,20.33,18.87,17.50,16.20,14.97,13.82,12.74,11.73,10.79,9.91,9.09,8.33,7.62,6.97,6.37,5.82,5.31,4.85,4.43,4.05,3.70,3.39,3.12,2.88,2.67,2.49,2.33,2.20,2.10,2.02,1.97,1.94,1.93,1.94,1.98,2.03,2.11,2.21,2.33,2.47,2.63,2.81,3.02,3.24,3.49,3.77,4.06,4.38,4.73,5.10,5.50,5.92,6.37,6.85,7.35,7.89,8.45,9.04,9.66,10.31,10.99,11.69,12.43,13.19,13.98,14.79,15.63,16.50,17.38,18.29,19.21,20.15,21.10,22.07,23.04,24.02,25.00
75.00,72.01,69.03,66.07,63.13,60.24,57.38,54.58,51.83,49.15,46.53,43.99,41.53,39.15,36.85,34.64,32.51,30.47,28.52,26.65,24.87,23.18,21.57,20.05,18.60,17.24,15.95,14.74,13.61,12.54,11.54,10.61,9.74,8.93,8.18,7.48,6.84,6.25,5.71,5.21,4.75,4.34,3.96,3.63,3.32,3.05,2.82,2.61,2.43,2.28,2.15,2.05,1.98,1.92,1.89,1.88,1.90,1.93,1.99,2.06,2.16,2.28,2.41,2.57,2.75,2.96,3.18,3.43,3.70,3.99,4.31,4.65,5.02,5.41,5.83,6.28,6.75,7.25,7.78,8.34,8.93,9.55,10.19,10.87,11.58,12.31,13.08,13.87,14.69,15.53,16.40,17.29,18.21,19.14,20.09,21.05,22.03,23.01,24.01,25.00
75.00,71.97,68.94,65.94,62.96,60.03,57.14,54.30,51.53,48.82,46.19,43.63,41.16,38.77,36.47,34.25,32.12,30.09,28.14,26.28,24.51,22.83,21.24,19.72,18.29,16.94,15.67,14.48,13.35,12.30,11.32,10.40,9.54,8.75,8.01,7.33,6.69,6.11,5.58,5.09,4.64,4.24,3.87,3.54,3.24,2.98,2.75,2.54,2.37,2.22,2.10,2.00,1.92,1.87,1.84,1.83,1.85,1.88,1.93,2.01,2.10,2.22,2.36,2.51,2.69,2.89,3.11,3.35,3.62,3.91,4.22,4.56,4.92,5.31,5.72,6.17,6.64,7.13,7.66,8.22,8.80,9.42,10.06,10.74,11.45,12.18,12.95,13.74,14.56,15.41,16.29,17.19,18.11,19.06,20.02,21.00,21.98,22.98,23.99,25.00
75.00,71.92,68.84,65.79,62.77,59.79,56.87,54.00,51.19,48.46,45.81,43.23,40.75,38.35,36.04,33.82,31.70,29.67,27.73,25.88,24.12,22.45,20.87,19.37,17.96,16.62,15.37,14.19,13.08,12.05,11.08,10.18,9.33,8.55,7.83,7.16,6.54,5.97,5.44,4.96,4.53,4.13,3.77,3.45,3.16,2.90,2.67,2.47,2.30,2.16,2.04,1.94,1.87,1.82,1.79,1.78,1.79,1.83,1.88,1.95,2.05,2.16,2.29,2.45,2.62,2.82,3.04,3.27,3.54,3.82,4.13,4.46,4.82,5.20,5.61,6.05,6.51,7.01,7.53,8.08,8.66,9.28,9.92,10.59,11.30,12.04,12.80,13.60,14.43,15.28,16.17,17.08,18.01,18.96,19.94,20.93,21.94,22.95,23.97,25.00
75.00,71.86,68.73,65.62,62.55,59.53,56.56,53.65,50.81,48.05,45.37,42.78,40.28,37.87,35.56,33.35,31.23,29.20,27.27,25.43,23.69,22.04,20.47,18.99,17.59,16.28,15.04,13.88,12.79,11.77,10.82,9.94,9.11,8.34,7.63,6.98,6.37,5.81,5.30,4.83,4.41,4.02,3.67,3.35,3.07,2.82,2.59,2.40,2.23,2.09,1.98,1.88,1.81,1.76,1.73,1.73,1.74,1.77,1.83,1.90,1.99,2.10,2.23,2.38,2.55,2.74,2.96,3.19,3.45,3.73,4.03,4.36,4.71,5.09,5.49,5.92,6.38,6.87,7.39,7.93,8.51,9.12,9.76,10.43,11.14,11.87,12.64,13.44,14.28,15.14,16.03,16.95,17.89,18.86,19.85,20.86,21.88,22.91,23.95,25.00
75.00,71.79,68.60,65.43,62.30,59.22,56.20,53.25,50.38,47.59,44.88,42.28,39.76,37.35,35.03,32.82,30.70,28.69,26.77,24.95,23.22,21.58,20.03,18.57,17.20,15.90,14.69,13.55,12.48,11.48,10.55,9.68,8.87,8.12,7.43,6.79,6.19,5.65,5.15,4.69,4.28,3.90,3.56,3.25,2.97,2.73,2.51,2.32,2.16,2.03,1.91,1.82,1.75,1.71,1.68,1.67,1.68,1.72,1.77,1.84,1.93,2.04,2.16,2.31,2.48,2.67,2.87,3.10,3.35,3.63,3.93,4.25,4.59,4.96,5.36,5.79,6.24,6.72,7.23,7.77,8.35,8.95,9.59,10.26,10.96,11.70,12.47,13.27,14.10,14.97,15.87,16.80,17.76,18.74,19.75,20.77,21.81,22.87,23.93,25.00
75.00,71.72,68.45,65.21,62.02,58.88,55.80,52.80,49.89,47.06,44.34,41.71,39.18,36.76,34.44,32.23,30.13,28.12,26.22,24.41,22.70,21.09,19.56,18.12,16.77,15.50,14.30,13.19,12.14,11.16,10.25,9.40,8.61,7.88,7.21,6.58,6.01,5.48,4.99,4.55,4.14,3.77,3.44,3.14,2.88,2.64,2.43,2.25,2.09,1.96,1.85,1.76,1.69,1.65,1.62,1.61,1.63,1.66,1.71,1.78,1.86,1.97,2.09,2.24,2.40,2.58,2.79,3.01,3.26,3.52,3.81,4.13,4.47,4.83,5.22,5.64,6.08,6.56,7.06,7.60,8.16,8.76,9.40,10.06,10.76,11.50,12.27,13.07,13.91,14.79,15.70,16.64,17.61,18.61,19.63,20.68,21.74,22.82,23.91,25.00
75.00,71.63,68.28,64.96,61.69,58.48,55.35,52.29,49.34,46.47,43.72,41.07,38.53,36.11,33.79,31.58,29.49,27.50,25.61,23.82,22.14,20.54,19.04,17.63,16.30,15.06,13.89,12.80,11.78,10.82,9.93,9.11,8.34,7.63,6.97,6.37,5.81,5.29,4.82,4.39,4.00,3.64,3.32,3.03,2.77,2.54,2.34,2.16,2.01,1.88,1.78,1.69,1.63,1.59,1.56,1.55,1.57,1.60,1.65,1.71,1.80,1.90,2.02,2.16,2.32,2.50,2.69,2.91,3.15,3.41,3.70,4.00,4.33,4.69,5.07,5.48,5.92,6.38,6.88,7.41,7.97,8.56,9.19,9.85,10.54,11.28,12.05,12.86,13.70,14.58,15.50,16.45,17.44,18.45,19.50,20.57,21.66,22.76,23.88,25.00
75.00,71.53,68.09,64.67,61.32,58.03,54.83,51.71,48.71,45.81,43.02,40.35,37.81,35.38,33.06,30.87,28.78,26.81,24.94,23.18,21.52,19.96,18.48,17.10,15.80,14.59,13.45,12.38,11.39,10.46,9.60,8.80,8.05,7.36,6.73,6.14,5.60,5.10,4.64,4.23,3.85,3.51,3.20,2.92,2.67,2.44,2.25,2.08,1.93,1.81,1.71,1.63,1.56,1.52,1.50,1.49,1.50,1.53,1.58,1.65,1.73,1.83,1.94,2.08,2.23,2.41,2.60,2.81,3.04,3.29,3.57,3.87,4.19,4.54,4.91,5.31,5.74,6.19,6.68,7.20,7.75,8.34,8.95,9.61,10.30,11.03,11.80,12.61,13.46,14.35,15.28,16.24,17.24,18.28,19.35,20.44,21.56,22.70,23.85,25.00
75.00,71.42,67.86,64.34,60.89,57.51,54.23,51.05,47.99,45.05,42.24,39.55,36.99,34.56,32.26,30.07,28.01,26.06,24.22,22.48,20.85,19.32,17.88,16.53,15.26,14.08,12.97,11.94,10.97,10.07,9.24,8.46,7.74,7.08,6.46,5.90,5.37,4.89,4.46,4.06,3.69,3.36,3.06,2.79,2.55,2.34,2.15,1.99,1.85,1.73,1.63,1.55,1.50,1.46,1.43,1.43,1.44,1.47,1.51,1.58,1.66,1.75,1.86,1.99,2.14,2.31,2.49,2.70,2.92,3.17,3.44,3.73,4.04,4.38,4.74,5.13,5.54,5.99,6.47,6.97,7.52,8.09,8.70,9.35,10.04,10.76,11.53,12.34,13.19,14.09,15.02,16.00,17.02,18.08,19.17,20.30,21.45,22.62,23.81,25.00
75.00,71.28,67.59,63.95,60.39,56.91,53.54,50.30,47.18,44.19,41.35,38.65,36.08,33.66,31.36,29.19,27.15,25.23,23.42,21.72,20.13,18.63,17.23,15.91,14.68,13.53,12.46,11.46,10.53,9.66,8.86,8.11,7.42,6.78,6.18,5.64,5.14,4.68,4.26,3.88,3.53,3.21,2.92,2.67,2.44,2.23,2.05,1.90,1.76,1.65,1.56,1.48,1.43,1.39,1.37,1.36,1.37,1.40,1.44,1.50,1.58,1.67,1.78,1.91,2.05,2.21,2.39,2.58,2.80,3.04,3.29,3.57,3.88,4.20,4.55,4.93,5.34,5.77,6.23,6.73,7.26,7.82,8.42,9.06,9.74,10.46,11.23,12.04,12.89,13.79,14.74,15.73,16.77,17.85,18.97,20.13,21.32,22.53,23.76,25.00
75.00,71.13,67.29,63.50,59.81,56.22,52.75,49.43,46.25,43.22,40.35,37.63,35.07,32.65,30.37,28.23,26.21,24.33,22.55,20.89,19.34,17.88,16.52,15.25,14.06,12.95,11.92,10.95,10.06,9.22,8.45,7.73,7.07,6.46,5.89,5.37,4.89,4.45,4.05,3.69,3.35,3.05,2.78,2.53,2.32,2.12,1.95,1.80,1.67,1.57,1.48,1.41,1.35,1.32,1.30,1.29,1.30,1.33,1.37,1.43,1.50,1.59,1.69,1.81,1.95,2.10,2.27,2.46,2.67,2.90,3.14,3.41,3.70,4.02,4.36,4.72,5.11,5.53,5.98,6.47,6.98,7.53,8.12,8.75,9.42,10.13,10.89,11.70,12.55,13.46,14.41,15.42,16.48,17.59,18.74,19.94,21.17,22.43,23.71,25.00
75.00,70.94,66.92,62.98,59.13,55.41,51.84,48.43,45.19,42.12,39.22,36.49,33.93,31.53,29.27,27.16,25.19,23.34,21.61,20.00,18.49,17.08,15.76,14.54,13.39,12.33,11.34,10.41,9.56,8.76,8.02,7.34,6.71,6.12,5.58,5.09,4.63,4.22,3.84,3.49,3.17,2.89,2.63,2.40,2.19,2.00,1.84,1.70,1.58,1.48,1.39,1.33,1.28,1.24,1.22,1.22,1.23,1.26,1.30,1.35,1.42,1.50,1.60,1.72,1.85,1.99,2.15,2.33,2.53,2.75,2.98,3.24,3.52,3.82,4.15,4.50,4.87,5.28,5.71,6.18,6.68,7.22,7.79,8.41,9.06,9.77,10.52,11.32,12.17,13.08,14.04,15.07,16.15,17.28,18.47,19.71,20.99,22.31,23.65,25.00
